Date,Open,High,Low,Close,Adjusted_close,Volume
1990-06-11,1042.23,1055.58,1039.51,1051.65,1051.65,119550000
1990-06-12,1052.04,1068.3,1045.78,1062.86,1062.86,157100000
1990-06-13,1062.62,1069.5601,1054.08,1060.1899,1060.1899,158910000
1990-06-14,1058.54,1062.96,1048.98,1056.8,1056.8,135770000
1990-06-15,1050.97,1062.23,1046.21,1056.65,1056.65,205130000
1990-06-18,1053.16,1055.1,1036.46,1038.83,1038.83,133470000
1990-06-19,1037.72,1048.16,1033.35,1042.38,1042.38,134930000
1990-06-20,1043.88,1049.61,1033.83,1041.9399,1041.9399,137420000
1990-06-21,1042.77,1048.74,1033.98,1043.59,1043.59,138570000
1990-06-22,1044.8101,1053.35,1027.72,1030.78,1030.78,172570000
1990-06-25,1033.45,1037.28,1018.88,1023.01,1023.01,133100000
1990-06-26,1028.9301,1035.58,1015.68,1019.32,1019.32,141420000
1990-06-27,1017.04,1031.9399,1012.91,1025.87,1025.87,146620000
1990-06-28,1026.8,1035.4399,1020.53,1029.61,1029.61,136120000
1990-06-29,1029.9,1038.25,1023.74,1031.0699,1031.0699,145510000
1990-07-02,1031.12,1038.59,1025.05,1034.76,1034.76,130200000
1990-07-03,1036.17,1042.23,1028.83,1035.73,1035.73,130050000
1990-07-05,1032.4301,1035.29,1018.25,1024.71,1024.71,128320000
1990-07-06,1021.65,1036.89,1019.32,1032.28,1032.28,111730000
1990-07-09,1034.37,1040.58,1027.91,1035.53,1035.53,119390000
1990-07-10,1035.1,1041.21,1025.49,1028.88,1028.88,147630000
1990-07-11,1032.14,1044.51,1027.4301,1040.58,1040.58,162220000
1990-07-12,1040.87,1056.36,1034.61,1051.75,1051.75,211510000
1990-07-13,1054.17,1071.89,1048.0601,1059.5601,1059.5601,215600000
1990-07-16,1061.9399,1070.24,1054.9,1063.6899,1063.6899,149450000
1990-07-17,1064.5601,1070.49,1052.4301,1062.5699,1062.5699,176790000
1990-07-18,1057.28,1064.8101,1046.21,1053.54,1053.54,168760000
1990-07-19,1051.75,1061.8,1042.77,1056.21,1056.21,161990000
1990-07-20,1055.6801,1063.83,1042.33,1045.1899,1045.1899,177810000
1990-07-23,1040.15,1045.39,1004.81,1026.46,1026.46,209030000
1990-07-24,1028.45,1038.0601,1013.98,1030.58,1030.58,181920000
1990-07-25,1029.9,1041.02,1022.77,1034.95,1034.95,163530000
1990-07-26,1033.98,1042.33,1021.84,1033.5,1033.5,155040000
1990-07-27,1032.96,1039.22,1018.64,1027.28,1027.28,149070000
1990-07-30,1018.5,1035.0,1012.33,1031.26,1031.26,146470000
1990-07-31,1028.01,1037.86,1011.17,1022.77,1022.77,173810000
1990-08-01,1020.34,1032.72,1011.55,1023.16,1023.16,176810000
1990-08-02,1014.42,1024.03,1000.19,1012.38,1012.38,253090000
1990-08-03,1004.42,1010.87,962.96,989.32,989.32,292360000
1990-08-06,954.71,968.74,941.31,951.7,951.7,240400000
1990-08-07,959.85,967.72,934.95,946.07,946.07,231580000
1990-08-08,948.16,968.5,940.92,958.79,958.79,190400000
1990-08-09,958.64,973.64,951.75,964.47,964.47,155810000
1990-08-10,962.82,967.52,941.84,948.88,948.88,145340000
1990-08-13,944.03,960.87,936.84,956.55,956.55,122820000
1990-08-14,955.19,967.62,945.44,954.17,954.17,130320000
1990-08-15,958.06,964.17,948.79,953.2,953.2,135210000
1990-08-16,947.38,952.28,930.0,932.28,932.28,138850000
1990-08-17,923.35,931.7,904.51,919.76,919.76,212560000
1990-08-20,919.9,931.94,914.32,923.98,923.98,129630000
1990-08-21,912.82,921.02,892.14,905.63,905.63,194630000
1990-08-22,908.79,914.9,888.88,891.94,891.94,175550000
1990-08-23,871.12,884.47,855.49,864.17,864.17,250440000
1990-08-24,874.71,886.17,858.74,875.53,875.53,199040000
1990-08-27,901.41,914.22,893.54,903.83,903.83,160150000
1990-08-28,900.29,908.83,892.62,901.65,901.65,127660000
1990-08-29,900.19,915.87,895.92,909.66,909.66,134240000
1990-08-30,909.68,913.44,893.22,897.9,897.9,120890000
1990-08-31,897.8,907.83,889.61,903.79,903.79,96480000
1990-09-04,896.24,904.52,889.91,902.28,902.28,92940000
